drive_id,company_id,name,role,drive_date,cgpa_band,applicants,shortlisted,selected
DRV009,CMP009,Cognizant,GenC,2024-08-18,7.5-7.99,75,39,28
DRV009,CMP009,Cognizant,GenC,2024-08-18,8.0-8.49,50,27,20
DRV009,CMP009,Cognizant,GenC,2024-08-18,8.5-10.0,80,30,25
DRV010,CMP010,Capgemini,Analyst,2024-08-11,6.0-6.99,47,23,3
DRV010,CMP010,Capgemini,Analyst,2024-08-11,7.0-7.49,55,23,23
DRV010,CMP010,Capgemini,Analyst,2024-08-11,7.5-7.99,75,30,29
DRV010,CMP010,Capgemini,Analyst,2024-08-11,8.0-8.49,75,39,23
DRV010,CMP010,Capgemini,Analyst,2024-08-11,8.5-10.0,44,24,15
DRV011,CMP011,IBM,Application Developer,2024-08-19,6.0-6.99,73,29,4
DRV011,CMP011,IBM,Application Developer,2024-08-19,7.0-7.49,76,41,23
DRV011,CMP011,IBM,Application Developer,2024-08-19,7.5-7.99,81,33,24
DRV011,CMP011,IBM,Application Developer,2024-08-19,8.0-8.49,73,38,25
DRV011,CMP011,IBM,Application Developer,2024-08-19,8.5-10.0,89,39,34
DRV012,CMP012,HCLTech,Graduate Engineer Trainee,2024-08-08,6.0-6.99,67,34,4
DRV012,CMP012,HCLTech,Graduate Engineer Trainee,2024-08-08,7.0-7.49,47,18,18
DRV012,CMP012,HCLTech,Graduate Engineer Trainee,2024-08-08,7.5-7.99,50,24,17
DRV012,CMP012,HCLTech,Graduate Engineer Trainee,2024-08-08,8.0-8.49,62,28,28
DRV012,CMP012,HCLTech,Graduate Engineer Trainee,2024-08-08,8.5-10.0,58,25,25
DRV013,CMP013,Deloitte,Analyst,2024-09-24,6.0-6.99,75,34,4
DRV013,CMP013,Deloitte,Analyst,2024-09-24,7.0-7.49,79,33,30
DRV013,CMP013,Deloitte,Analyst,2024-09-24,7.5-7.99,50,22,19
DRV013,CMP013,Deloitte,Analyst,2024-09-24,8.0-8.49,50,24,20
DRV013,CMP013,Deloitte,Analyst,2024-09-24,8.5-10.0,78,41,27
DRV014,CMP014,Adobe,SDE Intern,2024-10-05,6.0-6.99,18,10,0
DRV014,CMP014,Adobe,SDE Intern,2024-10-05,7.0-7.49,36,12,0
DRV014,CMP014,Adobe,SDE Intern,2024-10-05,7.5-7.99,36,16,0
DRV014,CMP014,Adobe,SDE Intern,2024-10-05,8.0-8.49,15,6,3
DRV014,CMP014,Adobe,SDE Intern,2024-10-05,8.5-10.0,18,7,4
DRV015,CMP015,Cisco,Software Engineer Intern,2024-10-25,6.0-6.99,32,10,0
DRV015,CMP015,Cisco,Software Engineer Intern,2024-10-25,7.0-7.49,21,8,0
DRV015,CMP015,Cisco,Software Engineer Intern,2024-10-25,7.5-7.99,34,15,6
DRV015,CMP015,Cisco,Software Engineer Intern,2024-10-25,8.0-8.49,30,11,8
DRV015,CMP015,Cisco,Software Engineer Intern,2024-10-25,8.5-10.0,31,10,8
DRV016,CMP016,Oracle,Applications Engineer,2024-09-15,6.0-6.99,36,13,1
DRV016,CMP016,Oracle,Applications Engineer,2024-09-15,7.0-7.49,34,14,3
DRV016,CMP016,Oracle,Applications Engineer,2024-09-15,7.5-7.99,24,9,4
DRV016,CMP016,Oracle,Applications Engineer,2024-09-15,8.0-8.49,32,13,8
DRV016,CMP016,Oracle,Applications Engineer,2024-09-15,8.5-10.0,25,13,6
DRV017,CMP017,SAP,Associate Developer,2024-09-14,6.0-6.99,26,11,0
DRV017,CMP017,SAP,Associate Developer,2024-09-14,7.0-7.49,36,19,3
DRV017,CMP017,SAP,Associate Developer,2024-09-14,7.5-7.99,35,19,6
DRV017,CMP017,SAP,Associate Developer,2024-09-14,8.0-8.49,36,12,8
DRV017,CMP017,SAP,Associate Developer,2024-09-14,8.5-10.0,38,11,8
DRV018,CMP018,Salesforce,SDE Intern,2024-10-19,6.0-6.99,39,18,1
DRV018,CMP018,Salesforce,SDE Intern,2024-10-19,7.0-7.49,35,10,0
DRV018,CMP018,Salesforce,SDE Intern,2024-10-19,7.5-7.99,23,12,5
DRV018,CMP018,Salesforce,SDE Intern,2024-10-19,8.0-8.49,43,17,9
DRV018,CMP018,Salesforce,SDE Intern,2024-10-19,8.5-10.0,21,9,4
DRV019,CMP019,Bosch,Software Intern,2024-09-10,6.0-6.99,63,19,4
DRV019,CMP019,Bosch,Software Intern,2024-09-10,7.0-7.49,72,31,26
DRV019,CMP019,Bosch,Software Intern,2024-09-10,7.5-7.99,79,32,32
DRV019,CMP019,Bosch,Software Intern,2024-09-10,8.0-8.49,46,23,16
DRV019,CMP019,Bosch,Software Intern,2024-09-10,8.5-10.0,61,23,23
DRV020,CMP020,Qualcomm,Software Engineer Intern,2024-10-08,6.0-6.99,24,9,0
DRV020,CMP020,Qualcomm,Software Engineer Intern,2024-10-08,7.0-7.49,19,6,0
DRV020,CMP020,Qualcomm,Software Engineer Intern,2024-10-08,7.5-7.99,28,12,2
DRV020,CMP020,Qualcomm,Software Engineer Intern,2024-10-08,8.0-8.49,10,4,2
DRV020,CMP020,Qualcomm,Software Engineer Intern,2024-10-08,8.5-10.0,13,5,3
DRV021,CMP021,Intel,Software Engineer Intern,2024-10-16,6.0-6.99,39,14,1
DRV021,CMP021,Intel,Software Engineer Intern,2024-10-16,7.0-7.49,30,13,0
DRV021,CMP021,Intel,Software Engineer Intern,2024-10-16,7.5-7.99,35,13,8
DRV021,CMP021,Intel,Software Engineer Intern,2024-10-16,8.0-8.49,20,9,4
DRV021,CMP021,Intel,Software Engineer Intern,2024-10-16,8.5-10.0,33,16,7
DRV022,CMP022,Zoho,SDE,2024-09-26,6.0-6.99,40,16,0
DRV022,CMP022,Zoho,SDE,2024-09-26,7.0-7.49,40,20,4
DRV022,CMP022,Zoho,SDE,2024-09-26,7.5-7.99,38,11,7
DRV022,CMP022,Zoho,SDE,2024-09-26,8.0-8.49,35,16,6
DRV022,CMP022,Zoho,SDE,2024-09-26,8.5-10.0,39,15,9
DRV023,CMP023,Freshworks,SDE Intern,2024-09-25,6.0-6.99,27,14,0
DRV023,CMP023,Freshworks,SDE Intern,2024-09-25,7.0-7.49,23,9,2
DRV023,CMP023,Freshworks,SDE Intern,2024-09-25,7.5-7.99,33,15,6
DRV023,CMP023,Freshworks,SDE Intern,2024-09-25,8.0-8.49,33,15,7
DRV023,CMP023,Freshworks,SDE Intern,2024-09-25,8.5-10.0,35,17,9
DRV024,CMP024,Flipkart,SDE Intern,2024-10-05,6.0-6.99,40,13,0
DRV024,CMP024,Flipkart,SDE Intern,2024-10-05,7.0-7.49,28,11,0
DRV024,CMP024,Flipkart,SDE Intern,2024-10-05,7.5-7.99,30,10,2
DRV024,CMP024,Flipkart,SDE Intern,2024-10-05,8.0-8.49,22,9,4
DRV024,CMP024,Flipkart,SDE Intern,2024-10-05,8.5-10.0,18,9,4
DRV025,CMP025,Walmart Global Tech,SDE Intern,2024-10-24,6.0-6.99,40,16,0
DRV025,CMP025,Walmart Global Tech,SDE Intern,2024-10-24,7.0-7.49,25,9,0
DRV025,CMP025,Walmart Global Tech,SDE Intern,2024-10-24,7.5-7.99,27,13,2
DRV025,CMP025,Walmart Global Tech,SDE Intern,2024-10-24,8.0-8.49,19,7,4
DRV025,CMP025,Walmart Global Tech,SDE Intern,2024-10-24,8.5-10.0,13,7,2
DRV026,CMP026,PhonePe,SDE Intern,2024-10-12,6.0-6.99,29,13,0
DRV026,CMP026,PhonePe,SDE Intern,2024-10-12,7.0-7.49,32,12,1
DRV026,CMP026,PhonePe,SDE Intern,2024-10-12,7.5-7.99,31,15,8
DRV026,CMP026,PhonePe,SDE Intern,2024-10-12,8.0-8.49,29,16,5
DRV026,CMP026,PhonePe,SDE Intern,2024-10-12,8.5-10.0,22,9,4
DRV027,CMP027,Goldman Sachs,Summer Analyst,2024-10-12,6.0-6.99,33,17,0
DRV027,CMP027,Goldman Sachs,Summer Analyst,2024-10-12,7.0-7.49,26,12,0
DRV027,CMP027,Goldman Sachs,Summer Analyst,2024-10-12,7.5-7.99,22,11,0
DRV027,CMP027,Goldman Sachs,Summer Analyst,2024-10-12,8.0-8.49,11,5,2
DRV027,CMP027,Goldman Sachs,Summer Analyst,2024-10-12,8.5-10.0,16,5,2
DRV028,CMP028,JPMorgan Chase,Software Engineer Intern,2024-10-07,6.0-6.99,31,13,0
DRV028,CMP028,JPMorgan Chase,Software Engineer Intern,2024-10-07,7.0-7.49,39,11,0
DRV028,CMP028,JPMorgan Chase,Software Engineer Intern,2024-10-07,7.5-7.99,35,11,2
DRV028,CMP028,JPMorgan Chase,Software Engineer Intern,2024-10-07,8.0-8.49,18,9,4
DRV028,CMP028,JPMorgan Chase,Software Engineer Intern,2024-10-07,8.5-10.0,15,7,3
DRV029,CMP029,Intuit,SDE Intern,2024-10-13,6.0-6.99,30,9,0
DRV029,CMP029,Intuit,SDE Intern,2024-10-13,7.0-7.49,44,19,1
DRV029,CMP029,Intuit,SDE Intern,2024-10-13,7.5-7.99,37,19,9
DRV029,CMP029,Intuit,SDE Intern,2024-10-13,8.0-8.49,21,7,5
DRV029,CMP029,Intuit,SDE Intern,2024-10-13,8.5-10.0,25,7,6
DRV030,CMP030,Databricks,Data Engineer Intern,2024-10-16,6.0-6.99,33,16,0
DRV030,CMP030,Databricks,Data Engineer Intern,2024-10-16,7.0-7.49,27,8,0
DRV030,CMP030,Databricks,Data Engineer Intern,2024-10-16,7.5-7.99,36,19,0
DRV030,CMP030,Databricks,Data Engineer Intern,2024-10-16,8.0-8.49,13,7,2
DRV030,CMP030,Databricks,Data Engineer Intern,2024-10-16,8.5-10.0,16,8,3
DRV031,CMP001,Amazon,SDE Intern,2025-10-08,6.0-6.99,34,11,0
DRV031,CMP001,Amazon,SDE Intern,2025-10-08,7.0-7.49,21,10,0
DRV031,CMP001,Amazon,SDE Intern,2025-10-08,7.5-7.99,38,13,2
DRV031,CMP001,Amazon,SDE Intern,2025-10-08,8.0-8.49,19,7,3
DRV031,CMP001,Amazon,SDE Intern,2025-10-08,8.5-10.0,18,6,4
DRV032,CMP002,Google,SWE Intern,2025-10-24,6.0-6.99,30,13,0
DRV032,CMP002,Google,SWE Intern,2025-10-24,7.0-7.49,20,6,0
DRV032,CMP002,Google,SWE Intern,2025-10-24,7.5-7.99,22,12,0
DRV032,CMP002,Google,SWE Intern,2025-10-24,8.0-8.49,8,3,0
DRV032,CMP002,Google,SWE Intern,2025-10-24,8.5-10.0,20,7,3
DRV033,CMP003,Microsoft,SDE Intern,2025-10-22,6.0-6.99,36,16,0
DRV033,CMP003,Microsoft,SDE Intern,2025-10-22,7.0-7.49,40,18,0
DRV033,CMP003,Microsoft,SDE Intern,2025-10-22,7.5-7.99,32,12,0
DRV033,CMP003,Microsoft,SDE Intern,2025-10-22,8.0-8.49,16,8,3
DRV033,CMP003,Microsoft,SDE Intern,2025-10-22,8.5-10.0,20,6,3
DRV034,CMP004,Honeywell,Software Engineer Intern,2025-09-13,6.0-6.99,31,11,0
DRV034,CMP004,Honeywell,Software Engineer Intern,2025-09-13,7.0-7.49,24,10,2
DRV034,CMP004,Honeywell,Software Engineer Intern,2025-09-13,7.5-7.99,39,18,8
DRV034,CMP004,Honeywell,Software Engineer Intern,2025-09-13,8.0-8.49,35,17,8
DRV034,CMP004,Honeywell,Software Engineer Intern,2025-09-13,8.5-10.0,26,12,6
DRV035,CMP005,TCS,Ninja,2025-08-23,6.0-6.99,90,36,27
DRV035,CMP005,TCS,Ninja,2025-08-23,7.0-7.49,85,45,29
DRV035,CMP005,TCS,Ninja,2025-08-23,7.5-7.99,47,20,14
DRV035,CMP005,TCS,Ninja,2025-08-23,8.0-8.49,72,31,23
DRV035,CMP005,TCS,Ninja,2025-08-23,8.5-10.0,50,21,17
DRV036,CMP006,Infosys,Systems Engineer,2025-08-07,6.0-6.99,83,36,4
DRV036,CMP006,Infosys,Systems Engineer,2025-08-07,7.0-7.49,45,20,20
DRV036,CMP006,Infosys,Systems Engineer,2025-08-07,7.5-7.99,43,18,16
DRV036,CMP006,Infosys,Systems Engineer,2025-08-07,8.0-8.49,69,30,26
DRV036,CMP006,Infosys,Systems Engineer,2025-08-07,8.5-10.0,83,39,35
DRV037,CMP007,Wipro,Project Engineer,2025-08-16,6.0-6.99,56,27,4
DRV037,CMP007,Wipro,Project Engineer,2025-08-16,7.0-7.49,77,30,23
DRV037,CMP007,Wipro,Project Engineer,2025-08-16,7.5-7.99,84,46,25
DRV037,CMP007,Wipro,Project Engineer,2025-08-16,8.0-8.49,44,20,20
DRV037,CMP007,Wipro,Project Engineer,2025-08-16,8.5-10.0,58,28,21
DRV038,CMP008,Accenture,Associate Software Engineer,2025-08-24,6.0-6.99,86,34,5
DRV038,CMP008,Accenture,Associate Software Engineer,2025-08-24,7.0-7.49,64,34,23
DRV038,CMP008,Accenture,Associate Software Engineer,2025-08-24,7.5-7.99,64,30,22
DRV038,CMP008,Accenture,Associate Software Engineer,2025-08-24,8.0-8.49,82,36,36
DRV038,CMP008,Accenture,Associate Software Engineer,2025-08-24,8.5-10.0,62,34,19
DRV039,CMP009,Cognizant,GenC,2025-08-16,6.0-6.99,73,40,3
DRV039,CMP009,Cognizant,GenC,2025-08-16,7.0-7.49,40,22,17
DRV039,CMP009,Cognizant,GenC,2025-08-16,7.5-7.99,69,29,28
DRV039,CMP009,Cognizant,GenC,2025-08-16,8.0-8.49,74,26,26
DRV039,CMP009,Cognizant,GenC,2025-08-16,8.5-10.0,69,24,24
DRV040,CMP010,Capgemini,Analyst,2025-08-07,6.0-6.99,42,17,3
DRV040,CMP010,Capgemini,Analyst,2025-08-07,7.0-7.49,89,46,40
DRV040,CMP010,Capgemini,Analyst,2025-08-07,7.5-7.99,55,18,18
DRV040,CMP010,Capgemini,Analyst,2025-08-07,8.0-8.49,42,19,15
DRV040,CMP010,Capgemini,Analyst,2025-08-07,8.5-10.0,43,14,14
DRV041,CMP011,IBM,Application Developer,2025-08-18,6.0-6.99,54,26,3
DRV041,CMP011,IBM,Application Developer,2025-08-18,7.0-7.49,89,37,26
DRV041,CMP011,IBM,Application Developer,2025-08-18,7.5-7.99,58,31,19
DRV041,CMP011,IBM,Application Developer,2025-08-18,8.0-8.49,76,34,26
DRV041,CMP011,IBM,Application Developer,2025-08-18,8.5-10.0,83,35,35
DRV042,CMP012,HCLTech,Graduate Engineer Trainee,2025-08-08,6.0-6.99,82,32,5
DRV042,CMP012,HCLTech,Graduate Engineer Trainee,2025-08-08,7.0-7.49,57,31,17
DRV042,CMP012,HCLTech,Graduate Engineer Trainee,2025-08-08,7.5-7.99,87,39,38
DRV042,CMP012,HCLTech,Graduate Engineer Trainee,2025-08-08,8.0-8.49,67,25,25
DRV042,CMP012,HCLTech,Graduate Engineer Trainee,2025-08-08,8.5-10.0,62,29,28
DRV043,CMP013,Deloitte,Analyst,2025-09-20,6.0-6.99,60,23,4
DRV043,CMP013,Deloitte,Analyst,2025-09-20,7.0-7.49,59,29,21
DRV043,CMP013,Deloitte,Analyst,2025-09-20,7.5-7.99,70,24,23
DRV043,CMP013,Deloitte,Analyst,2025-09-20,8.0-8.49,85,34,26
DRV043,CMP013,Deloitte,Analyst,2025-09-20,8.5-10.0,43,23,16
DRV044,CMP014,Adobe,SDE Intern,2025-10-21,6.0-6.99,34,12,0
DRV044,CMP014,Adobe,SDE Intern,2025-10-21,7.0-7.49,24,7,0
DRV044,CMP014,Adobe,SDE Intern,2025-10-21,7.5-7.99,32,10,0
DRV044,CMP014,Adobe,SDE Intern,2025-10-21,8.0-8.49,19,6,4
DRV044,CMP014,Adobe,SDE Intern,2025-10-21,8.5-10.0,14,6,3
DRV045,CMP015,Cisco,Software Engineer Intern,2025-10-06,6.0-6.99,26,11,0
DRV045,CMP015,Cisco,Software Engineer Intern,2025-10-06,7.0-7.49,41,17,1
DRV045,CMP015,Cisco,Software Engineer Intern,2025-10-06,7.5-7.99,30,16,6
DRV045,CMP015,Cisco,Software Engineer Intern,2025-10-06,8.0-8.49,26,14,7
DRV045,CMP015,Cisco,Software Engineer Intern,2025-10-06,8.5-10.0,23,11,5
DRV046,CMP016,Oracle,Applications Engineer,2025-09-11,6.0-6.99,42,14,1
DRV046,CMP016,Oracle,Applications Engineer,2025-09-11,7.0-7.49,27,13,3
DRV046,CMP016,Oracle,Applications Engineer,2025-09-11,7.5-7.99,32,15,7
DRV046,CMP016,Oracle,Applications Engineer,2025-09-11,8.0-8.49,29,12,6
DRV046,CMP016,Oracle,Applications Engineer,2025-09-11,8.5-10.0,35,17,7
DRV047,CMP017,SAP,Associate Developer,2025-09-19,6.0-6.99,44,23,1
DRV047,CMP017,SAP,Associate Developer,2025-09-19,7.0-7.49,31,9,3
DRV047,CMP017,SAP,Associate Developer,2025-09-19,7.5-7.99,27,8,6
DRV047,CMP017,SAP,Associate Developer,2025-09-19,8.0-8.49,37,16,10
DRV047,CMP017,SAP,Associate Developer,2025-09-19,8.5-10.0,33,11,6
DRV048,CMP018,Salesforce,SDE Intern,2025-10-11,6.0-6.99,32,11,0
DRV048,CMP018,Salesforce,SDE Intern,2025-10-11,7.0-7.49,37,17,1
DRV048,CMP018,Salesforce,SDE Intern,2025-10-11,7.5-7.99,28,12,7
DRV048,CMP018,Salesforce,SDE Intern,2025-10-11,8.0-8.49,43,18,10
DRV048,CMP018,Salesforce,SDE Intern,2025-10-11,8.5-10.0,25,9,6
DRV049,CMP019,Bosch,Software Intern,2025-09-08,6.0-6.99,86,28,5
DRV049,CMP019,Bosch,Software Intern,2025-09-08,7.0-7.49,74,40,34
DRV049,CMP019,Bosch,Software Intern,2025-09-08,7.5-7.99,73,37,21
DRV049,CMP019,Bosch,Software Intern,2025-09-08,8.0-8.49,82,24,24
DRV049,CMP019,Bosch,Software Intern,2025-09-08,8.5-10.0,48,21,21
DRV050,CMP020,Qualcomm,Software Engineer Intern,2025-10-26,6.0-6.99,22,9,0
DRV050,CMP020,Qualcomm,Software Engineer Intern,2025-10-26,7.0-7.49,29,13,0
DRV050,CMP020,Qualcomm,Software Engineer Intern,2025-10-26,7.5-7.99,37,17,3
DRV050,CMP020,Qualcomm,Software Engineer Intern,2025-10-26,8.0-8.49,8,3,1
DRV050,CMP020,Qualcomm,Software Engineer Intern,2025-10-26,8.5-10.0,8,4,1
DRV051,CMP021,Intel,Software Engineer Intern,2025-10-21,6.0-6.99,29,14,0
DRV051,CMP021,Intel,Software Engineer Intern,2025-10-21,7.0-7.49,41,22,1
DRV051,CMP021,Intel,Software Engineer Intern,2025-10-21,7.5-7.99,25,8,4
DRV051,CMP021,Intel,Software Engineer Intern,2025-10-21,8.0-8.49,24,11,5
DRV051,CMP021,Intel,Software Engineer Intern,2025-10-21,8.5-10.0,28,10,7
DRV052,CMP022,Zoho,SDE,2025-09-16,6.0-6.99,22,9,0
DRV052,CMP022,Zoho,SDE,2025-09-16,7.0-7.49,38,18,3
DRV052,CMP022,Zoho,SDE,2025-09-16,7.5-7.99,29,15,7
DRV052,CMP022,Zoho,SDE,2025-09-16,8.0-8.49,40,18,11
DRV052,CMP022,Zoho,SDE,2025-09-16,8.5-10.0,21,8,4
DRV053,CMP023,Freshworks,SDE Intern,2025-09-21,6.0-6.99,35,10,0
DRV053,CMP023,Freshworks,SDE Intern,2025-09-21,7.0-7.49,25,13,2
DRV053,CMP023,Freshworks,SDE Intern,2025-09-21,7.5-7.99,40,17,10
DRV053,CMP023,Freshworks,SDE Intern,2025-09-21,8.0-8.49,23,12,6
DRV053,CMP023,Freshworks,SDE Intern,2025-09-21,8.5-10.0,27,14,5
DRV054,CMP024,Flipkart,SDE Intern,2025-10-22,6.0-6.99,33,17,0
DRV054,CMP024,Flipkart,SDE Intern,2025-10-22,7.0-7.49,39,20,0
DRV054,CMP024,Flipkart,SDE Intern,2025-10-22,7.5-7.99,36,12,2
DRV054,CMP024,Flipkart,SDE Intern,2025-10-22,8.0-8.49,21,11,3
DRV054,CMP024,Flipkart,SDE Intern,2025-10-22,8.5-10.0,17,9,2
DRV055,CMP025,Walmart Global Tech,SDE Intern,2025-10-16,6.0-6.99,20,9,0
DRV055,CMP025,Walmart Global Tech,SDE Intern,2025-10-16,7.0-7.49,36,14,0
DRV055,CMP025,Walmart Global Tech,SDE Intern,2025-10-16,7.5-7.99,35,17,2
DRV055,CMP025,Walmart Global Tech,SDE Intern,2025-10-16,8.0-8.49,10,5,2
DRV055,CMP025,Walmart Global Tech,SDE Intern,2025-10-16,8.5-10.0,9,5,2
DRV056,CMP026,PhonePe,SDE Intern,2025-10-05,6.0-6.99,23,12,0
DRV056,CMP026,PhonePe,SDE Intern,2025-10-05,7.0-7.49,30,13,0
DRV056,CMP026,PhonePe,SDE Intern,2025-10-05,7.5-7.99,39,19,8
DRV056,CMP026,PhonePe,SDE Intern,2025-10-05,8.0-8.49,20,10,5
DRV056,CMP026,PhonePe,SDE Intern,2025-10-05,8.5-10.0,34,13,7
DRV057,CMP027,Goldman Sachs,Summer Analyst,2025-10-16,6.0-6.99,31,14,0
DRV057,CMP027,Goldman Sachs,Summer Analyst,2025-10-16,7.0-7.49,30,13,0
DRV057,CMP027,Goldman Sachs,Summer Analyst,2025-10-16,7.5-7.99,25,8,0
DRV057,CMP027,Goldman Sachs,Summer Analyst,2025-10-16,8.0-8.49,10,5,2
DRV057,CMP027,Goldman Sachs,Summer Analyst,2025-10-16,8.5-10.0,10,4,2
DRV058,CMP028,JPMorgan Chase,Software Engineer Intern,2025-10-07,6.0-6.99,20,7,0
DRV058,CMP028,JPMorgan Chase,Software Engineer Intern,2025-10-07,7.0-7.49,29,9,0
DRV058,CMP028,JPMorgan Chase,Software Engineer Intern,2025-10-07,7.5-7.99,20,8,1
DRV058,CMP028,JPMorgan Chase,Software Engineer Intern,2025-10-07,8.0-8.49,16,5,3
DRV058,CMP028,JPMorgan Chase,Software Engineer Intern,2025-10-07,8.5-10.0,9,3,1
DRV059,CMP029,Intuit,SDE Intern,2025-10-23,6.0-6.99,45,17,1
DRV059,CMP029,Intuit,SDE Intern,2025-10-23,7.0-7.49,29,14,0
DRV059,CMP029,Intuit,SDE Intern,2025-10-23,7.5-7.99,43,23,11
DRV059,CMP029,Intuit,SDE Intern,2025-10-23,8.0-8.49,27,9,6
DRV059,CMP029,Intuit,SDE Intern,2025-10-23,8.5-10.0,32,11,6
DRV060,CMP030,Databricks,Data Engineer Intern,2025-10-12,6.0-6.99,33,11,0
DRV060,CMP030,Databricks,Data Engineer Intern,2025-10-12,7.0-7.49,26,11,0
DRV060,CMP030,Databricks,Data Engineer Intern,2025-10-12,7.5-7.99,20,11,0
DRV060,CMP030,Databricks,Data Engineer Intern,2025-10-12,8.0-8.49,19,8,4
DRV060,CMP030,Databricks,Data Engineer Intern,2025-10-12,8.5-10.0,11,3,2
