student_id,skill,status,last_updated
1BM25MC092,DSA,in_progress,2026-08-09
1BM25MC092,Java,not_started,2026-08-24
1BM25MC093,DSA,in_progress,2026-07-19
1BM25MC093,Aptitude,not_started,2026-07-19
1BM25MC093,Python,in_progress,2026-08-12
1BM25MC093,System Design,in_progress,2026-07-20
1BM25MC094,DSA,not_started,2026-08-20
1BM25MC094,Aptitude,in_progress,2026-08-09
1BM25MC094,Spark,not_started,2026-08-08
1BM25MC095,DSA,in_progress,2026-07-26
1BM25MC095,Aptitude,in_progress,2026-08-12
1BM25MC095,Java,completed,2026-07-17
1BM25MC095,DBMS,not_started,2026-08-23
1BM25MC096,DSA,completed,2026-08-19
1BM25MC097,DSA,in_progress,2026-08-10
1BM25MC097,Aptitude,in_progress,2026-08-17
1BM25MC097,DBMS,not_started,2026-08-18
1BM25MC098,DSA,completed,2026-08-06
1BM25MC099,DSA,completed,2026-08-20
1BM25MC099,Aptitude,completed,2026-08-08
1BM25MC100,DSA,completed,2026-07-16
1BM25MC100,Aptitude,completed,2026-08-01
1BM25MC100,DBMS,not_started,2026-08-14
